13:15:10Ошибка записи данных
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:15 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:16 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:17 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:18 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:19 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:20 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:21 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:22 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:23 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:24 Пустое значение
14:19:25 Пустое значение
14:19:25 Пустое значение
14:19:25 Пустое значение
14:19:25 Пустое значение
14:19:25 Пустое значение
14:21:38 Пустое значение14:21:38 Пустое значение

14:21:38 Пустое значение
14:21:38 Пустое значение14:21:38 Пустое значение

14:21:38 Пустое значение
14:21:38 Пустое значение14:21:38 Пустое значение

14:21:38 Пустое значение
14:21:38 Пустое значение
14:21:38 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:39 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:40 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:41 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:42 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:43 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:44 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:45 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:46 Пустое значение
14:21:47 Пустое значение
14:21:47 Пустое значение
14:21:47 Пустое значение
14:21:47 Пустое значение
14:21:47 Пустое значение
14:21:47 Пустое значение
14:21:47 Пустое значение
14:21:47 Пустое значение
